Year,Percentage_Internet_User
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0.001059744
1995,0.026109477
1996,0.056623989
1997,0.194910264
1998,0.255306646
1999,0.444415936
2000,0.925564
2001,2.01861
2002,2.13414
2003,2.38702
2004,2.60029
2007,5.78627
2008,7.91748
2009,6.92
2010,10.92
2011,12.28
2012,14.52
2013,14.94
2014,17.1432
2017,32.3358
2018,39.9046
2019,47.6906
2020,53.7265
2021,62.1045
2022,66.4846
2023,69.2084
