Newton Interpolation
Iteration,xi,yint,ea,et
1,2.0000000000,0.0000000000,0.0000000000,100.0000000000
2,2.0000000000,0.8109282200,100.0000000000,16.9922121511
3,2.0000000000,0.7108943533,14.0715517288,2.5603758150
4,2.0000000000,0.6980678433,1.8374302903,0.7099015781
5,2.0000000000,0.6949929350,0.4424373513,0.2662860777
6,2.0000000000,0.6939798907,0.1459760358,0.1201346741
7,2.0000000000,0.6936104893,0.0532577559,0.0668413201
8,2.0000000000,0.6934384084,0.0248156004,0.0420152933

Lagrange Interpolation
xi,yint,et
2.0000000000,0.6934384084,0.0420152933

Spline Interpolation
xi,yint,dy,d2y,et
2.0000000000,0.6983901200,0.0000000000,100.0000000000,0.7563962730
