Linear Regression:
Iteration, x, y, y_pred, MSE
1,1960.00,88296070.00,85987720.92,5328475458351.68
2,1961.00,90791249.00,89180060.65,2595927892146.33
3,1962.00,93375850.00,92372400.38,1006911138418.90
4,1963.00,96051424.00,95564740.11,236861209493.36
5,1964.00,98833749.00,98757079.84,5878160429.61
6,1965.00,101365130.00,101949419.57,341394297362.03
7,1966.00,103792754.00,105141759.29,1819815285694.85
8,1967.00,106526393.00,108334099.02,3267801067237.46
9,1968.00,109450006.00,111526438.75,4311572973583.38
10,1969.00,112517639.00,114718778.48,4845015012822.31
11,1970.00,115657495.00,117911118.21,5078817568560.77
12,1971.00,118833702.00,121103457.94,5151792016444.24
13,1972.00,122039841.00,124295797.67,5089340479699.86
14,1973.00,125288515.00,127488137.39,4838338679396.17
15,1974.00,128555045.00,130680477.12,4517461710650.72
16,1975.00,131843848.00,133872816.85,4116714601659.91
17,1976.00,135173655.00,137065156.58,3577778228529.73
18,1977.00,138533541.00,140257496.31,2972021907127.24
19,1978.00,141953163.00,143449836.04,2240030181053.94
20,1979.00,145434834.00,146642175.77,1457674139937.07
21,1980.00,148950540.00,149834515.49,781412674963.95
22,1981.00,152485035.00,153026855.22,293569154154.84
23,1982.00,156052152.00,156219194.95,27903347692.88
24,1983.00,159651381.00,159411534.68,57526257128.09
25,1984.00,163251124.00,162603874.41,418932033396.37
26,1985.00,166776185.00,165796214.14,960342891784.35
27,1986.00,170175065.00,168988553.87,1407808671524.72
28,1987.00,173511154.00,172180893.59,1769592746788.93
29,1988.00,176855065.00,175373233.32,2195825119212.84
30,1989.00,180201630.00,178565573.05,2676682338864.07
31,1990.00,183501098.00,181757912.78,3038694711204.52
32,1991.00,186778238.00,184950252.51,3341530956944.55
33,1992.00,190043744.00,188142592.24,3614378025586.71
34,1993.00,193305168.00,191334931.97,3881830031077.43
35,1994.00,196591828.00,194527271.69,4262392739863.91
36,1995.00,199888057.00,197719611.42,4702156221561.41
37,1996.00,203204348.00,200911951.15,5255083312019.54
38,1997.00,206536095.00,204104290.88,5913671278894.91
39,1998.00,209826788.00,207296630.61,6401696426411.00
40,1999.00,213004668.00,210488970.34,6328734732039.10
41,2000.00,216077790.00,213681310.07,5743116076637.86
42,2001.00,219097902.00,216873649.79,4947297875856.63
43,2002.00,222088495.00,220065989.52,4090528406297.10
44,2003.00,225048008.00,223258329.25,3202950024263.62
45,2004.00,227926649.00,226450668.98,2178517020484.64
46,2007.00,237062337.00,236027688.17,1070498211181.44
47,2008.00,240157903.00,239220027.89,879609714776.01
48,2009.00,243220028.00,242412367.62,652315285586.49
49,2010.00,246305322.00,245604707.35,490860886505.54
50,2011.00,249470032.00,248797047.08,452908703266.62
51,2012.00,252698525.00,251989386.81,502876975336.93
52,2013.00,255852467.00,255181726.54,449892769299.71
53,2014.00,258877399.00,258374066.27,253343842019.18
54,2017.00,267346658.00,267951085.45,365332543207.78
55,2018.00,269951846.00,271143425.18,1419860940506.63
56,2019.00,272489381.00,274335764.91,3409133535097.76
57,2020.00,274814866.00,277528104.64,7361663897927.83
58,2021.00,276758053.00,280720444.36,15700545328812.58
59,2022.00,278830529.00,283912784.09,25829316835083.35
60,2023.00,281190067.00,287105123.82,34987897207652.65

f(x) = 3192339.7285x - 6170998147.0259
 syx, 2009107.9328
 r2, 0.9989


Polynomial Regression:
Iteration, x, y, y_pred, MSE
1,1960.00,88296070.00,83672219.26,21379995666301.47
2,1961.00,90791249.00,87086562.80,13724699871170.47
3,1962.00,93375850.00,90493701.85,8306777944573.65
4,1963.00,96051424.00,93893636.43,4656047198769.65
5,1964.00,98833749.00,97286366.53,2394392516129.74
6,1965.00,101365130.00,100671892.15,480578722141.86
7,1966.00,103792754.00,104050213.29,66285283556.72
8,1967.00,106526393.00,107421329.95,800912135674.80
9,1968.00,109450006.00,110785242.13,1782855511049.94
10,1969.00,112517639.00,114141949.83,2638385661834.52
11,1970.00,115657495.00,117491453.05,3363402123796.49
12,1971.00,118833702.00,120833751.79,4000199166470.59
13,1972.00,122039841.00,124168846.05,4532662520446.25
14,1973.00,125288515.00,127496735.84,4876239268868.12
15,1974.00,128555045.00,130817421.14,5118345809299.85
16,1975.00,131843848.00,134130901.97,5230615849768.25
17,1976.00,135173655.00,137437178.31,5123537789072.58
18,1977.00,138533541.00,140736250.18,4851927729538.04
19,1978.00,141953163.00,144028117.57,4305436453303.29
20,1979.00,145434834.00,147312780.47,3526682960204.15
21,1980.00,148950540.00,150590238.90,2688612491250.75
22,1981.00,152485035.00,153860492.85,1891884301611.52
23,1982.00,156052152.00,157123542.32,1147877220567.53
24,1983.00,159651381.00,160379387.31,529993189751.87
25,1984.00,163251124.00,163628027.82,142056491483.89
26,1985.00,166776185.00,166869463.85,8700944644.62
27,1986.00,170175065.00,170103695.41,5093618875.53
28,1987.00,173511154.00,173330722.48,32555533609.98
29,1988.00,176855065.00,176550545.07,92732385915.75
30,1989.00,180201630.00,179763163.19,192253145847.74
31,1990.00,183501098.00,182968576.82,283578804812.10
32,1991.00,186778238.00,186166785.98,373873575508.69
33,1992.00,190043744.00,189357790.65,470531992933.51
34,1993.00,193305168.00,192541590.85,583050062723.41
35,1994.00,196591828.00,195718186.57,763249351073.98
36,1995.00,199888057.00,198887577.81,1000958616545.81
37,1996.00,203204348.00,202049764.57,1333062907510.32
